Disk ,File,Rx Hole,Ant. Pair,Amplification
2,13,2,SC,-26
2,14,2,SC,-26
2,15,2,SC,-26
2,16,2,SC,0
2,17,2,SC,0
2,18,2,SR,0
2,19,2,SR,0
2,20,2,LP,0
2,21,2,LP,0
2,22,2,LP,0
2,25,2,B,0
2,26,2,B,0
2,27,2,SC,0
2,28,2,SC,0
2,29,2,SC,0
2,30,2,SC,0
2,31,2,SC,0
2,32,2,SC,0
2,33,2,SC,0
2,34,2,SC,0
2,35,2,SC,0
2,36,2,SC,0
2,37,2,SC,0
2,38,2,SC,0
2,39,2,SC,0
2,40,2,SC,0
2,41,2,SC,0
2,42,2,SC,0
2,43,2,SC,0
2,44,3,SC,0
3,0,3,SC,34
3,1,3,SC,34
3,2,3,SC,34
3,3,3,SC,34
3,4,3,SC,34
3,5,3,SC,34
3,6,3,SC,34
3,7,3,SC,34
3,8,3,SC,34
3,9,3,SC,34
3,10,3,SC,34
3,11,3,SC,34
3,12,3,SC,34
3,13,3,SC,34
3,14,3,SC,34
3,15,3,SC,34
3,16,3,SC,34
3,17,3,SC,34
3,18,3,SR,34
3,20,3,SR,34
3,21,3,SR,34
3,22,3,SR,34
3,23,3,SR,34
3,24,3,SR,34
3,25,3,LP,34
3,26,3,LP,34
3,27,3,LP,34
3,28,3,LP,34
3,29,3,LP,34
3,30,3,B,34
3,31,3,B,62
3,32,3,B,62
3,33,3,B,62
3,34,3,B,62
3,35,3,B,62
3,36,3,B,62
3,39,4,SC,34
3,40,4,SC,34
3,41,4,SC,34
3,42,4,SC,34
3,43,4,SC,34
3,44,4,SC,34
3,45,4,SR,34
3,46,4,SR,34
3,47,4,SR,34
3,48,4,SR,34
3,49,4,SR,34
3,50,4,SR,34
3,51,4,LP,34
3,52,4,LP,34
3,53,4,LP,34
3,54,4,LP,34
3,55,4,LP,34
3,56,4,LP,34
3,57,4,B,62
4,20,4,B,62
4,21,4,B,62
4,22,4,B,62
4,23,4,B,62
4,24,4,B,62
